arm,best_ms,worst_ms,ratio_to_baseline,ran
bash declare -a,192,197,within the noise,yes
slots by index,193,212,within the noise,yes
one string  unit-separated,3116,3173,1622%,yes
positional parameters,227,259,118%,yes
