arm,best_ms,worst_ms,ratio_to_baseline,ran
resolved through the manifest,248,270,within the noise,yes
lowered  dispatch left to run,221,241,89%,yes
lowered  use resolved already,216,242,87%,yes
lowered and shaken,217,234,87%,yes
