arm,best_ms,worst_ms,ratio_to_baseline,ran
resolved through the manifest,249,331,within the noise,yes
lowered  dispatch left to run,249,260,within the noise,yes
lowered  use resolved already,60,67,24%,yes
lowered and shaken,61,78,24%,yes
